feedback_id,issue_no,source,channel,car_series,created_time,raw_text,domain,module,scenario,problem,severity,sentiment,impact_score,frequency_score,priority_score
TP000220260520001994,2,5月400建议.xlsx,400,LS9,2026-05-20 12:20:23,用户建议4S店可以备一些可乐，提供给用户，坐席记录建议，询问是否需反馈，用户表示无需反馈,交付相关,交付当天流程执行,交付流程不到位/等待时间长,用户建议4S店备可乐,1,0,0.4,1,31.61
TP000220260519001654,2,5月400建议.xlsx,400,L6,2026-05-19 11:43:57,用户表示赠品给错了，后续自己联系无需反馈,交付体验,交付流程体验,赠品给错,赠品给错,1,0,0.2,1,21.61
TP000220260516002880,1,5月400建议.xlsx,400,LS8,2026-05-16 14:12:16,用户咨询大礼包里面的香薰插在哪,交付相关,交付当天流程执行,交付仪式相关,大礼包香薰使用咨询,1,0,0.2,1,21.61
TP000220260515005078,3,5月400建议.xlsx,400,LS8,2026-05-15 17:36:25,用户表示交车仓促，就没有介绍，坐席协助介绍用户认可无需反馈,交付体验,交付流程体验,交付介绍/培训,交车时未主动介绍,1,1,0.2,1,21.61
TP000220260508001520,2,5月400建议.xlsx,400,LS8,2026-05-08 11:27:37,用户反馈之前去安装脚踏板的时候，休息室的环境以及服务需要提高一下。记录用户建议，用户表示不需要反馈。,服务体验,门店休息区体验,休息室环境与服务,休息室环境及服务需要提高,1,0,0.4,1,31.61
TP000220260507004262,2,5月400建议.xlsx,400,LS9,2026-05-07 15:26:03,用户表示车内没有收拾干净了，坐席记录服务问题进行培训用户表示无需反馈,服务体验,交车前准备,车辆清洁问题,车内没有收拾干净,1,0,0.2,1,21.61
TP000220260503001839,3,5月400建议.xlsx,400,LS8,2026-05-03 12:03:53,用户希望厂家重视此问题，改进后续车辆的装配工艺，避免其他车主遇到同样问题,车辆品质,装配工艺,交付瑕疵,改进后续车辆的装配工艺，避免其他车主遇到同样问题,1,0,0.4,1,31.61
TP000220260531001883,1,5月400建议.xlsx,400,LS8,2026-05-31 12:11:38,用户表示安装踏板没有一次解决问题，截止客服回访，踏板问题已经解决，无需反馈,服务体验,维保安装服务,踏板安装问题,踏板安装未能一次性解决，需要多次处理,1,0,0.2,1,21.61
TP000220260514002820,2,5月400建议.xlsx,400,LS6,2026-05-14 13:55:36,用户希望车子前引擎盖能改成电动的，坐席记录建议，用户接受，无需反馈,其他建议,产品,新增功能建议,前引擎盖电动化需求,1,1,0.4,1,31.61
TP000220260513002893,1,5月400建议.xlsx,400,LS9,2026-05-13 13:45:11,用户表示服务可以做的在好一点贴心一点，都店看车的时候，可以给用户倒点水饮料还有就是准备点孩子爱吃的零食，这个也会比较有人气一点，客服安抚，用户认可，不需要反馈,服务体验,门店接待,门店服务体验,门店服务不够贴心，未提供饮料零食,1,1,0.2,1,21.61
TP000220260519005132,1,5月400建议.xlsx,400,LS8,2026-05-19 17:26:16,用户表示踏板已经预约安装，但是没有货,服务体验,配件交付,预约安装缺货,用户预约安装踏板，但缺货无法安装,1,0,0.2,1,21.61
TP000220260529004425,1,5月400建议.xlsx,400,LS6,2026-05-29 16:08:18,用户反馈4S太小了，记录用户建议，用户表示不需要反馈。,售后,售后服务体验,其他,4S店空间太小,1,0,0.4,1,31.61
TP000220260520005346,3,5月400建议.xlsx,400,L6,2026-05-20 18:11:49,用户表示不要针对某个人，建议整个服务提升,售后,售后服务,服务态度-售后服务差,用户建议整体服务提升，不针对个人,1,0,0.4,1,31.61
TP000220260518003505,1,5月400建议.xlsx,400,LS6,2026-05-18 14:23:43,用户针对整体服务打分表示不知道，因为车被拿去贴膜了，还没有拿到车,服务体验,服务流程精细化,贴膜服务,用户尚未拿到车，无法评价服务,1,0,0.2,1,21.61
TP000220260530000698,2,5月400建议.xlsx,400,LS9,2026-05-30 10:06:59,用户想了解其他号码（非400）打来电话是不是假的，原因是曾有陌生号码以智己名义打电话被挂断，客服安抚致歉建议用户核实陌生号码真实性再接听，用户认可,服务体验,服务响应,陌生来电真实性核实,用户接到陌生号码自称智己，怀疑真实性，客服建议核实,1,1,0.4,1,31.61
TP000220260514000434,3,5月400建议.xlsx,400,LS8,2026-05-14 09:35:30,用户表示对售主理的态度还行，但是这个服务跟不上。和一般的四S店差别太大。,销售相关,服务相关,服务效率低,服务跟不上，与一般4S店差距大,1,-1,0.2,1,26.61
TP000220260508000757,2,5月400建议.xlsx,400,LS8,2026-05-08 10:09:39,用户表示当时脚垫没货了，后续给寄过来的，现在已经收到了,销售相关,服务相关,其他,脚垫补寄已收到,1,0,0.2,1,21.61
TP000220260506001745,2,5月400建议.xlsx,400,LS6,2026-05-06 11:47:21,用户反馈前备箱很难关闭，以女性的力量无法关上，需要找力气大的人帮忙才能关闭。,车辆品质,前备箱,使用体验,前备箱关闭困难，力量较小用户无法正常关闭,1,-1,0.2,1,26.61
TP000120260531003517,1,5月产品建议.xlsx,APP,,2026-05-31 15:27:40,本人只有 5 月 2 日试驾，18.31 两日未有试驾！却收到了试驾报告！请解释是为什么？！严重怀疑使用我留存资料不停重复造假试驾数据！,服务体验,试驾数据,试驾报告异常,未试驾却收到试驾报告，怀疑数据造假,1,0,0.2,1,21.61
TP000120260530005040,1,5月产品建议.xlsx,APP,LS8,2026-05-30 17:35:27,建议头顶增加放眼睛👓盒的小格子，放太阳镜和插眼睛布，女生的化妆用具等,车辆品质,储物空间,内饰优化,建议在头顶增加放眼镜盒的小格子，用于存放太阳镜和插眼镜布，以及女生的化妆用具,1,0,0.4,1,31.61
TP000120260530003149,1,5月产品建议.xlsx,APP,LS8,2026-05-30 14:45:10,地址的标签多设置几个 最好能自定义 只有家和公司太少了 还有什么学校什么的也需要,车联车控,地址管理,标签自定义,地址标签只有家和公司太少，希望增加自定义标签以及学校等预设标签,1,0,0.2,1,21.61
TP000120260530002945,1,5月产品建议.xlsx,APP,,2026-05-30 14:25:37,我什么时候约了试驾？什么时候又试驾了？真他妈扯蛋,服务体验,试驾预约,试驾信息不一致,用户未约试驾但被记录为试驾，引发不满,1,0,0.2,1,21.61
TP000120260530001152,4,5月产品建议.xlsx,APP,LS9,2026-05-30 10:57:34,我以为是我车技很好。直到，我使用了ls9，同样情况，我过车，结果碰撞了,智驾体验,智驾决策,过车碰撞,使用LS9在同样情况下过车导致碰撞,3,0,1.0,1,61.61
TP000120260530000093,1,5月产品建议.xlsx,APP,LS6,2026-05-30 07:35:20,路口左转遇直行车辆，犹豫不前，不敢前行；,智驾体验,智驾决策优化,路口左转,遇到直行车辆犹豫不前,1,0,0.2,1,21.61
TP000120260530000015,1,5月产品建议.xlsx,APP,,2026-05-30 00:17:20,私自用我的信息，登记试驾，我根本没去试驾，报告如何而来？,服务体验,隐私与信息安全,试驾登记流程,未经用户授权，私自使用用户信息登记试驾,1,0,0.2,1,21.61
TP000120260530000646,5,5月产品建议.xlsx,APP,LS8,2026-05-30 10:01:02,作为LS8首批车主，第一波上市口碑非常重要，我们用真金白银支持智己品牌，也希望厂家能够真正重视车主的用车体验,服务体验,服务响应,首批车主反馈,厂家不重视首批车主用车体验,1,0,0.4,4,46.95
TP000120260529006992,1,5月产品建议.xlsx,APP,LS8,2026-05-29 22:34:57,只告诉我娱乐流量耗尽，看不到用在了什么地方，还有多少？,智舱体验,流量管理,流量查询,用户反映娱乐流量耗尽后无法查看流量使用明细和剩余流量,1,0,0.2,1,21.61
TP000120260529005920,1,5月产品建议.xlsx,APP,,2026-05-29 18:16:08,希望能选超广城智慧探射灯！！！,灯光体验,智慧灯语自定义,灯光自定义选择,用户希望增加超广角智慧探射灯的选项,1,0,0.4,1,31.61
TP000120260529006710,1,5月产品建议.xlsx,APP,LS8,2026-05-29 19:56:35,希望有每天的行车轨迹,智舱体验,行车记录仪,轨迹记录,希望增加每天的行车轨迹功能,1,0,0.4,1,31.61
TP000120260529000044,1,5月产品建议.xlsx,APP,LS6,2026-05-29 06:07:12,根特斯拉比 没有开启后备厢前备厢,车联车控,后备箱远程控制,开启功能缺失,没有开启后备厢前备厢功能,1,0,0.2,1,21.61
TP000120260525002132,3,5月产品建议.xlsx,APP,,2026-05-25 11:44:56,希望此条建议能获得回应，并在较短时间内实现，谢谢,待定,,,希望此条建议能获得回应，并在较短时间内实现，谢谢,1,0,0.4,1,31.61
TP000120260525000475,1,5月产品建议.xlsx,APP,L6,2026-05-25 09:18:37,手机app上增加远程开启后尾箱功能,车联车控,后备箱远程控制,远程控制,手机app上增加远程开启后尾箱功能,1,0,0.2,1,21.61
TP000120260525000099,1,5月产品建议.xlsx,APP,LS8,2026-05-25 08:05:37,智己车子开启辅助驾驶时，掉头的时候转弯太小，后轮容易客房马路边，程序是否可以优化,智能驾驶,辅助驾驶,行车/智驾,掉头时转弯太小，后轮容易客房马路边，程序是否可以优化,1,0,0.4,1,31.61
TP000120260524006074,1,5月产品建议.xlsx,APP,LS8,2026-05-24 20:55:45,请问能否增加小米手机的nfc车钥匙？,车联车控,NFC钥匙,车钥匙功能,用户希望增加小米手机NFC车钥匙功能,1,0,0.2,1,21.61
TP000120260524002054,1,5月产品建议.xlsx,APP,,2026-05-24 12:29:41,如何换购产品呢？,服务,换购,换购流程,用户咨询如何换购产品,1,0,0.2,1,21.61
TP000120260524000068,6,5月产品建议.xlsx,APP,LS8,2026-05-24 04:20:17,期待官方在后续OTA中能采纳并优化这一功能,待定,,,期待官方在后续OTA中能采纳并优化这一功能,1,1,0.4,1,31.61
TP000120260523003646,1,5月产品建议.xlsx,APP,LS8,2026-05-23 15:44:24,跑高速，120公里每小时，纯电模式，显示可行驶里程和实际跑里程差一倍，同时燃油里程也在减少什么问题，是否正常,三电系统,续航显示,高速纯电模式,120km/h纯电模式下，表显续航与实际行驶里程差异一倍，且燃油里程同步减少，怀疑表显逻辑异常,1,-1,0.2,1,26.61
TP000120260523005785,1,5月产品建议.xlsx,APP,LS9,2026-05-23 20:57:37,"LS9经常出现无法挂档的现象，必须把车辆再开关一次才能挂档。有急事的时候，真耽误事。让人不舒服。
能不能改进一下啊？",三电系统,换挡,现有体验优化,LS9经常出现无法挂档的现象，必须重启车辆才能挂档，耽误时间。,1,-1,0.2,1,31.61
TP000120260523000814,1,5月产品建议.xlsx,APP,LS7,2026-05-23 10:40:18,LS7座位靠枕高度非常不适合女性，女生不能开大车了吗,车辆品质,座椅,座椅设计,座位靠枕高度不适合女性,1,-1,0.2,1,26.61
TP000120260523000008,1,5月产品建议.xlsx,APP,LS6,2026-05-23 00:22:21,可以更新像小米一样的ai宠物吗，真的很需要,智舱体验,车机应用与功能扩展,AI宠物功能,希望增加AI宠物功能,1,0,0.2,1,21.61
TP000120260523000072,1,5月产品建议.xlsx,APP,LS6,2026-05-23 08:05:31,水晶掉落的声音 可以选择关闭 有时候在睡觉 突然一个声音很吓人,智能座舱,音响,播放/音效,水晶掉落声音无法关闭，夜间突然播放惊吓用户,1,0,0.2,1,21.61
TP000120260522001918,5,5月产品建议.xlsx,APP,LS8,2026-05-22 11:48:32,作为LS8首批车主，第一波上市口碑非常重要，我们用真金白银支持智己品牌，也希望厂家能够真正重视车主的用车体验,服务体验,服务响应,首批车主反馈,厂家不重视首批车主用车体验,1,0,0.4,4,46.95
TP000120260522000028,1,5月产品建议.xlsx,APP,L6,2026-05-22 01:14:06,24款l6，真的真的很想要无麦k歌功能。希望可以ota,智舱体验,,,24款L6希望增加无麦K歌功能，通过OTA实现,1,0,0.4,1,31.61
TP000120260521006720,4,5月产品建议.xlsx,APP,LS8,2026-05-21 22:57:59,实在太不注重细节太影响销量了吧，忘得到官方回复,待定,,,用户抱怨不注重细节影响销量，希望得到官方回复,1,0,0.2,1,21.61
TP000120260521006493,1,5月产品建议.xlsx,APP,LS6,2026-05-21 20:18:53,什么时候适配三星手机,智舱体验,车机互联,手机适配,适配三星手机,1,0,0.2,1,21.61
TP000120260521004212,1,5月产品建议.xlsx,APP,LS6,2026-05-21 16:04:27,一亿有我这个活动，车价降了，配置升了。能不能也安慰一下26款智己LS6老车主，钱上是不能返给老车主了，能不能给老车主送一把蓝牙智能钥匙。就像去年华为智界给老车主送免费车标一样。买车的时候也没送，这把感恩回馈一下，我相信所有车主都会感谢，更加相信、支持智己车企。这对于智己汽车而言也是一项广告，能更好树立企业形象。,账号与权益,车主权益,老车主回馈,希望给老车主赠送蓝牙智能钥匙,1,0,0.2,1,21.61
TP000120260521001747,1,5月产品建议.xlsx,APP,LS6,2026-05-21 11:42:38,"起个大早赶了个晚集。
大家都卖增城的时候智己在卖纯电，
发现销量上不去，改了卖增程，好像市场又变化了。
智己早起卖不好不是纯电的问题，特斯拉和小妮都是纯电，卖挺好的。
自己的问题是在品牌知名度，品牌客群定位不清晰，产品线混乱一直在调整。服务跟不上。",品牌策略,产品线管理,市场定位,品牌知名度不足，客群定位不清晰，产品线混乱，服务跟不上,1,0,0.2,1,21.61
TP000120260521004891,1,5月产品建议.xlsx,APP,LS6,2026-05-21 17:15:32,如果能通过手机查看实时监控并能喊话就好了,智舱体验,远程监控,实时查看与喊话,用户期望增加手机远程查看实时监控和双向喊话功能,1,0,0.2,1,21.61
TP000120260520000139,1,5月产品建议.xlsx,APP,LS8,2026-05-20 08:36:26,赶快出车道级辅助驾驶啊,智能驾驶,辅助驾驶,行车/智驾,用户期望尽快推出车道级辅助驾驶功能,1,0,0.2,1,21.61
TP000120260519006579,5,5月产品建议.xlsx,APP,LS8,2026-05-19 20:49:22,作为LS8首批车主，第一波上市口碑非常重要，我们用真金白银支持智己品牌，也希望厂家能够真正重视车主的用车体验,服务体验,服务响应,首批车主反馈,厂家不重视首批车主用车体验,1,0,0.4,4,46.95
TP000120260519001843,1,5月产品建议.xlsx,APP,,2026-05-19 11:58:25,请转达领导班子 抓紧出纯电ls8 越快越好,产品规划,车型规划,新车型推出,希望推出纯电LS8,1,0,0.2,1,21.61
TP000120260519000104,1,5月产品建议.xlsx,APP,LS9,2026-05-19 07:57:10,app尾箱都不能开？油车都可以啊。,车联车控,后备箱远程控制,APP控制后备箱,APP无法远程开启后备箱,1,-1,0.2,1,26.61
TP000120260518006034,1,5月产品建议.xlsx,APP,LS6,2026-05-18 18:05:24,当时定车时，全新一代智己LS6现车没有带冰箱，现在夏天来，发现冰箱是刚需，希望提供加装冰箱的服务,售后加装,配件服务,冰箱需求,希望提供冰箱加装服务,1,0,0.4,1,31.61
TP000120260517003818,1,5月产品建议.xlsx,APP,LS7,2026-05-17 17:00:06,高速驾驶人失能自动靠边，而不是减速停在超车道上。,智驾体验,智驾安全策略,人失能自动靠边,高速驾驶人失能自动靠边，而不是减速停在超车道上。,1,0,0.2,1,21.61
TP000120260517003065,1,5月产品建议.xlsx,APP,,2026-05-17 15:37:37,为什么一直再给我约试驾，烦死了,服务体验,营销活动管理,试驾预约,频繁约试驾骚扰,1,0,0.2,1,21.61
TP000120260517001639,1,5月产品建议.xlsx,APP,LS6,2026-05-17 12:28:55,新ls6也要carlog功能！！！,智舱体验,车机应用,CarLog功能,用户要求新LS6车型增加CarLog功能,1,0,0.2,1,21.61
TP000120260516006034,1,5月产品建议.xlsx,APP,LS6,2026-05-16 22:05:55,noa状态下，斑马线前不减速，很多成人这样会被罚款300扣三分！建议增加调解功能，避免斑马线前还不减速甚至加速,智驾体验,智能辅助驾驶,现有体验优化,NOA状态下斑马线前不减速，建议增加减速功能,1,0,0.4,1,31.61
TP000120260516005590,1,5月产品建议.xlsx,APP,LS6,2026-05-16 19:12:45,车辆如果在板车上，不能实时看到车辆定位,车联网,定位服务,车辆在板车运输中,不能实时查看车辆定位,1,-1,0.2,1,26.61
TP000120260516000425,1,5月产品建议.xlsx,APP,LS6,2026-05-16 09:34:51,有坡的时候在档位里 也要溜坡 要讯速去踩油门 才能不溜坡,底盘建议,制动,现有体验优化,坡道停车时车辆溜坡，需快速踩油门才能阻止溜坡,1,0,0.2,1,21.61
TP000120260515004879,3,5月产品建议.xlsx,APP,LS6,2026-05-15 17:18:27,出园区路口要汇入对面的主路时，碰到来车和两轮电动车多且抢行时，觉得太复杂就停摆在路中间。,智驾体验,智驾决策,路口汇入,在出园区路口汇入主路时，遇到多车和电动车抢行，智驾系统认为太复杂而停摆，无法完成汇入,1,0,0.2,1,21.61
TP000120260515006063,1,5月产品建议.xlsx,APP,LS9,2026-05-15 19:24:27,开发磁吸遥控器，让后屏控制器有个归宿,智舱体验,后屏控制器,收纳方案,后屏控制器无处安放，需要磁吸遥控器作为收纳工具,1,0,0.2,1,21.61
TP000120260515000718,1,5月产品建议.xlsx,APP,LS9,2026-05-15 10:00:42,希望ota下蓝牙下车之后感应到车上后排有人不要下电,智舱体验,场景模式,下车后保持供电,希望OTA增加功能：蓝牙下车后感应后排有人时不下电,1,0,0.4,1,31.61
TP000120260514006515,1,5月产品建议.xlsx,APP,LS6,2026-05-14 19:31:48,可以加一下自定义换壁纸啊 和理想那样,智舱体验,主题屏保,壁纸自定义,无法自定义壁纸,1,0,0.2,1,21.61
TP000120260514005037,6,5月产品建议.xlsx,APP,LS8,2026-05-14 17:07:47,作为LS8首批车主，第一波上市口碑非常重要，我们用真金白银支持智己品牌，也希望厂家能够真正重视车主的用车体验,服务体验,服务响应,首批车主反馈,厂家不重视首批车主用车体验,1,0,0.4,4,46.95
TP000120260514002957,1,5月产品建议.xlsx,APP,L6,2026-05-14 14:08:45,给l6增加一个模拟,智舱体验,无麦K歌与模拟声浪,,用户希望为L6增加模拟功能,1,0,0.2,1,21.61
TP000120260514001804,1,5月产品建议.xlsx,APP,,2026-05-14 11:59:38,请审核快一些我用卡不方便,服务体验,服务流程,服务响应效率,审核速度慢，影响用户使用卡,1,0,0.4,1,31.61
TP000120260514000295,1,5月产品建议.xlsx,APP,LS9,2026-05-14 09:16:05,连续两天出现手机app对里程数据采集有问题，体验非常差。,APP体验,车辆状态,现有体验优化,手机APP里程数据采集异常,1,-1,0.4,1,36.61
TP000120260513006698,1,5月产品建议.xlsx,APP,LS8,2026-05-13 19:43:23,太好开了，就是希望后面可以开放下载市场。抠破累有时候有点卡,智舱体验,车机系统,应用市场,希望开放下载市场；CarPlay卡顿,1,-1,0.4,1,36.61
TP000120260512003163,1,5月产品建议.xlsx,APP,L6,2026-05-12 14:11:09,建议白天自动亮示宽灯，或者给用户选择自动开启,灯光体验,智慧灯语自定义,白天自动亮灯控制,建议白天自动亮示宽灯或给用户选择自动开启,1,0,0.4,1,31.61
TP000120260512002753,1,5月产品建议.xlsx,APP,L6,2026-05-12 13:33:14,智己Android端手机app经常卡在主界面，无法退出，手机是荣耀magic5p,智联车控,手机APP,APP卡顿,Android端APP经常卡在主界面无法退出,1,-1,0.2,1,31.61
TP000120260512000055,1,5月产品建议.xlsx,APP,LS6,2026-05-12 07:12:56,萌趣屏锁能按季节并且每天更换不同的就很好。按日历设计,智舱体验,主题屏保一致性,屏保设置,萌趣屏锁能按季节并且每天更换不同的就很好。按日历设计,1,0,0.2,1,21.61
TP000120260511002381,1,5月产品建议.xlsx,APP,LS6,2026-05-11 12:52:31,400让我重新发送一下 数据日志,服务体验,客服服务,数据日志处理,400要求重新发送数据日志，流程繁琐,1,0,0.2,1,21.61
TP000120260511002434,1,5月产品建议.xlsx,APP,L6,2026-05-11 12:59:38,后摄像头加一个冲洗功能,智舱体验,摄像头,后摄像头清洁,后摄像头增加冲洗功能,1,0,0.2,1,21.61
TP000120260511001092,1,5月产品建议.xlsx,APP,L6,2026-05-11 10:36:01,最近体验了“露营模式”在车上过夜睡觉，期间多次被自动获得“晶石”的提醒声音吵醒，声音尖锐，突发。未发现能关闭该声音的功能设置,智能座舱,音响,播放/音效,露营模式下晶石提醒声音尖锐突发且无法关闭，影响睡眠,1,0,0.4,1,31.61
TP000120260511000048,1,5月产品建议.xlsx,APP,LS9,2026-05-11 06:39:24,下面文字调到上面更,智舱建议,屏幕,现有体验优化,文字位置调整需求,1,0,0.2,1,21.61
TP000120260510003091,2,5月产品建议.xlsx,APP,L6,2026-05-10 15:01:49,能不能尽快上千问大模型？,智舱体验,车机应用与功能扩展,现有体验优化,用户希望尽快上线千问大模型,1,-1,0.2,1,26.61
TP000120260509006590,1,5月产品建议.xlsx,APP,LS6,2026-05-09 21:16:50,App车辆操作界面强烈建议添加文字说明,车联车控,APP体验,操作界面,App车辆操作界面建议添加文字说明,1,0,0.4,1,31.61
TP000120260509005533,1,5月产品建议.xlsx,APP,,2026-05-09 18:06:59,能不能不要一注册或者领取了什么东西就有人给我打电话，一点隐私都没有的吗？,服务体验,电话触达,注册或领取后电话骚扰,用户反馈注册或领取东西后频繁接到电话，侵犯隐私,1,-1,0.2,1,26.61
TP000120260509005123,1,5月产品建议.xlsx,APP,LS8,2026-05-09 17:29:01,左右后面来车警示灯放在屏幕上不打眼，不特意还看不蛮清楚,智能座舱,警示显示,屏幕/联动,左右后面来车警示灯在屏幕上不明显，不易察觉,1,0,0.2,1,21.61
TP000120260509004416,1,5月产品建议.xlsx,APP,LS6,2026-05-09 16:14:26,智己ls6居然不支持CarPlay，这问题很难解决吗！,智舱体验,连接,现有体验优化,LS6不支持CarPlay功能,1,0,0.2,1,21.61
TP000120260508005494,1,5月产品建议.xlsx,APP,,2026-05-08 18:08:47,去店里面看车，接待没人给水，后面进来人了，直接忽略我们，这服务真垃圾，后面的人都送水，看我们连给都不给，还没介绍两句，叫我加微信，想钱想疯了吗,服务体验,门店服务,接待服务,接待人员未提供饮水，忽视客户，服务态度差，急于推销,1,0,0.2,1,21.61
TP000120260507007409,1,5月产品建议.xlsx,APP,LS9,2026-05-07 23:22:59,建议给车主提供隐私功能 不让授权人看到 车辆信息 在授权的情况下 隐身车辆,APP体验,车辆隐私管理,授权人查看车辆信息,用户建议增加隐私功能，使授权人无法查看车辆信息，实现隐身车辆,1,0,0.4,1,31.61
TP000120260506006943,1,5月产品建议.xlsx,APP,LS6,2026-05-06 20:11:50,关于屏幕后视摄像头的优化建议。正常场景下右转的时候，打了右转向灯，屏幕右侧会显示后视摄像头的画面,智能座舱,多屏协同,屏幕/联动,右转时屏幕右侧显示后视摄像头画面,3,0,1.0,1,61.61
TP000120260506006943,2,5月产品建议.xlsx,APP,LS6,2026-05-06 20:11:50,我希望在特定场景下，比如虽然是右转，但是左侧摄像头检测到左后方（比如30米内）有其他车辆或者行人等靠近，左侧的摄像头画面也应该智能显示左侧的实际画面，把画面传输到屏幕,智舱体验,360影像视觉体验,右转时左侧摄像头智能显示,希望右转时左侧摄像头检测到后方车辆或行人时自动显示左侧画面,1,0,0.4,1,31.61
TP000120260506001934,1,5月产品建议.xlsx,APP,LS8,2026-05-06 12:05:26,车上没有专门放眼镜的地方，建议改进时增加。,智舱体验,存储空间,车内储物,车上没有专门放眼镜的地方,1,0,0.4,1,31.61
TP000120260506000085,1,5月产品建议.xlsx,APP,,2026-05-06 07:23:17,不要每次进入app都打电话啦,APP,APP使用体验,APP启动,用户希望不要每次进入APP都触发电话呼叫,1,0,0.2,1,21.61
TP000120260504005799,1,5月产品建议.xlsx,APP,LS8,2026-05-04 22:25:59,开放app下载,智舱体验,车机应用,应用下载,开放APP下载功能,1,0,0.2,1,21.61
TP000120260504005798,1,5月产品建议.xlsx,APP,LS8,2026-05-04 22:25:43,建议LS8在手机app上支持预约启动冰箱,车联车控,手机App,预约启动冰箱,建议LS8在手机app上支持预约启动冰箱,1,0,0.4,1,31.61
TP000120260504004075,1,5月产品建议.xlsx,APP,LS9,2026-05-04 16:40:16,强烈建议智己工程师技术团队把L6上的自定义场景添加到智己LS9车上，为什么LS9号称智己最强旗舰车竟然没有自定义场景，连老款的L6都有的功能，ls9却没有！,智舱体验,场景模式配置与触发,自定义场景功能缺失,LS9缺少自定义场景功能，请求从L6移植,1,0,0.4,1,31.61
TP000120260504004074,1,5月产品建议.xlsx,APP,LS8,2026-05-04 16:40:12,"5月3号。我的智己LS8从杭州的南庄兜到滨江,打开Noa走上塘高架。本来是全程高架到滨江的，但是他走到了上塘高架体育场路口的时候，自己就跑下来了。因为这个路口啊，它是中间这个车道开出高架的，不像常现的都是那个右侧下高架的。差点出事情，你们要修正这个错误哦。",智驾体验,智能辅助驾驶,高架出口决策错误,NOA在上塘高架体育场路口因车道设置异常错误下高架，差点出事,1,-1,0.2,1,26.61
TP000120260504001226,1,5月产品建议.xlsx,APP,LS6,2026-05-04 11:01:51,关于维护老客户维护，在汽车养护期间建议管午饭，修车期间建议给客户提供同款车型在修车期间使用,服务体验,维保服务,维修保养,建议在养护期间提供午餐，修车期间提供同款代步车,1,0,0.4,1,31.61
TP000120260503006182,1,5月产品建议.xlsx,APP,LS6,2026-05-03 23:48:22,"辅助驾驶，在路口左转的时候，只要右边有并排左转的车，左转就很犹豫。
左转后，如果左侧第一车道是停车位，停一排车，他就直接停在这个车的后面等着，不会进入正常行驶车道上",智驾体验,辅助驾驶,路口左转,左转时受右侧并排左转车影响犹豫不决；左转后遇左侧车道停车位时不会变道至正常行驶车道，而是停车等待,1,0,0.2,1,21.61
TP000120260503006091,1,5月产品建议.xlsx,APP,L6,2026-05-03 22:47:31,没有汽水app，能不能快一点推出一个,智舱体验,车机系统稳定性与交互,车机应用与功能扩展,缺少汽水app，希望尽快推出,1,-1,0.2,1,26.61
